"file","Block","Sentence","Speaker","Word","scoreMax_synchrony","scoreMean_synchrony","scoreMax_syncRel","scoreMean_syncRel","scoreMax_Mass","scoreMean_Mass","scoreMax_scaling","scoreMean_scaling","scoreMax_scaleRel","scoreMean_scaleRel","scoreMax_massXsync","scoreMean_massXsync","scoreMax_massXscale","scoreMean_massXscale","scoreMax_massXf0","scoreMean_massXf0"
"1-05-14_zdf_f11",1,5,14,"auch",-10,-10,4.31,4.31,1.06,1.06,-161.601120680072,-161.601120680072,41.821,41.821,3.61354,3.61354,6.8052,6.8052,10.41874,10.41874
"1-05-14_zdf_f11",1,5,14,"den",-2,-2,0.707,0.707,1.32,1.32,7.38442401009399,7.38442401009399,1.911,1.911,2.33772,2.33772,3.35544,3.35544,5.69316,5.69316
"1-05-14_zdf_f11",1,5,14,"zivildienst",5,-0.8,4.046,3.3924,1.45,0.694,45.913476578882,1.843984933106,12.782,7.5122,4.60085,2.18361,5.12865,2.52598,9.7295,4.70959
"1-05-14_zdf_f11",1,5,14,"muss",0,-2,2.614,1.307,1.58,0.875,53.656295305512,7.793617788913,13.886,11.869,1.58,1.03259,7.73568,4.24524,9.31568,5.27783
"1-05-14_zdf_f11",1,5,14,"keiner",-8,-8,2.888,2.888,1.38,1.38,-50.489532513758,-50.489532513758,13.066,13.066,4.08342,4.08342,6.64332,6.64332,10.72674,10.72674
"1-05-14_zdf_f11",1,5,14,"mehr",0,0,0,0,0.9,0.9,-8.82060829918001,-8.82060829918001,2.283,2.283,0.9,0.9,2.4435,2.4435,3.3435,3.3435
"1-05-14_zdf_f11",1,5,14,"machen",2,0,0.813,0.7985,1.28,1.015,-0.519357269577995,-5.422186059329,2.672,1.403,2.3488,1.87115,2.15775,1.834715,3.86048,3.705865
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"sie",-2,-2,1.709,1.709,0.83,0.83,16.578278483103,16.578278483103,4.29,4.29,2.02354,2.02354,2.82449,2.82449,4.84803,4.84803
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"sind",-3,-3,1.852,1.852,1.88,1.88,2.34853579318801,2.34853579318801,0.608,0.608,4.72256,4.72256,3.1678,3.1678,7.89036,7.89036
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"schon",-6,-6,3.727,3.727,1.18,1.18,-16.37260921657,-16.37260921657,4.237,4.237,3.82438,3.82438,3.99902,3.99902,7.8234,7.8234
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"sehr",13,13,6.915,6.915,2.25,2.25,6.71720948491102,6.71720948491102,1.738,1.738,8.96625,8.96625,5.51925,5.51925,14.4855,14.4855
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"gespannt",3,1.33333333333333,3.659,2.00733333333333,1.91,0.93,35.843338345736,-0.34875472455333,9.276,6.27433333333333,3.88494,2.17567333333333,8.06784,3.82790666666667,11.95278,6.00358
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"auf",0,-3,4.839,2.4195,1.04,0.605,3.55136098442,-18.4298582323935,10.458,5.6885,3.68784,1.92892,4.69872,2.51426,8.38656,4.44318
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"die",-6,-6,4.688,4.688,0.76,0.76,-4.75556363266099,-4.75556363266099,1.231,1.231,2.66608,2.66608,1.64008,1.64008,4.30616,4.30616
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"ersten",10,5,5.952,2.976,1.61,0.865,44.619492762729,18.524753142316,11.547,6.753,6.11317,3.116585,4.12965,2.343765,10.24282,5.46035
"1-06-01_ab_3scenario-lawine2_04",1,6,1,"untersuchungsergebnisse",2,-1,4.636,1.58475,0.85,0.67125,11.521547542809,-6.48501974225363,9.789,3.241625,2.83095,1.5211525,3.03102,1.8309,5.86197,3.3520525
"1-07-02_SOF-117",1,7,2,"auch",16,16,9.195,9.195,1.32,1.32,-5.165930404243,-5.165930404243,1.337,1.337,5.742,5.742,2.937,2.937,8.679,8.679
"1-07-02_SOF-117",1,7,2,"eine",8,8,6.107,5.8905,1.35,1.335,52.129401954125,37.1508135613535,13.491,9.6145,5.16915,5.052315,6.55695,5.754795,11.7261,10.80711
"1-07-02_SOF-117",1,7,2,"bachblütenkur",2,-3.2,6.748,3.0232,1.53,0.812,26.728661372232,-15.0013398227438,15.731,6.8408,4.07262,2.179032,6.09705,2.95285,9.47223,5.131882
"1-07-02_SOF-117",1,7,2,"kann",0,0,0,0,1.23,1.23,-4.06843268039501,-4.06843268039501,1.053,1.053,1.23,1.23,2.50674,2.50674,3.73674,3.73674
"1-07-02_SOF-117",1,7,2,"nur",-3,-3,2.069,2.069,1.2,1.2,-2.83898241443899,-2.83898241443899,0.735,0.735,3.1416,3.1416,2.154,2.154,5.2956,5.2956
"1-07-02_SOF-117",1,7,2,"doktor",0,-0.5,0.645,0.3225,0.78,0.68,2.32777853399099,-2.5410432313065,1.918,1.26,1.34004,0.96002,1.4761,1.39325,2.65044,2.35327
"1-07-02_SOF-117",1,7,2,"bahber",-3,-3,1.639,1.639,1.28,1.28,-5.59284441203098,-5.59284441203098,1.447,1.447,3.072,3.072,2.93248,2.93248,6.00448,6.00448
"1-07-02_SOF-117",1,7,2,"machen",-1,-1.5,0.647,0.542,1.78,1.37,0.923151002981001,-0.868649291226004,0.689,0.464,3.0616,2.26184,3.12568,2.19116,6.18728,4.453
"1-08-12_RK_4txtgiven-rosine2_02",1,8,12,"sie",6,6,5.769,5.769,0.5,0.5,-46.17031142665,-46.17031142665,11.949,11.949,1.8795,1.8795,2.3475,2.3475,4.227,4.227
"1-08-12_RK_4txtgiven-rosine2_02",1,8,12,"werfen",-3,-3,1.523,1.523,2.08,2.08,-10.192798759077,-10.192798759077,2.638,2.638,4.8568,4.8568,5.95504,5.95504,10.81184,10.81184
"1-08-12_RK_4txtgiven-rosine2_02",1,8,12,"die",3,3,1.754,1.754,1.35,1.35,15.20283990195,15.20283990195,3.934,3.934,3.3237,3.3237,4.45905,4.45905,7.78275,7.78275
"1-08-12_RK_4txtgiven-rosine2_02",1,8,12,"rosine",5,-1.33333333333333,9.559,5.36233333333333,1.57,1.30666666666667,64.72176746877,14.7350642603823,16.75,10.1293333333333,6.908,4.70959,6.89073,5.60045666666667,13.79873,10.3100466666667
"1-08-12_RK_4txtgiven-rosine2_02",1,8,12,"weg",-6,-6,4.478,4.478,1.16,1.16,-68.203025444124,-68.203025444124,17.65,17.65,4.00664,4.00664,6.05636,6.05636,10.063,10.063
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"tom",13,13,7.386,7.386,1.49,1.49,65.693380848256,65.693380848256,17.001,17.001,6.06132,6.06132,7.7033,7.7033,13.76462,13.76462
"1-09-09_kk_3scenario-diedame2_01",1,9,9,"und",-6,-6,4.839,4.839,0.91,0.91,92.743250807076,92.743250807076,24.001,24.001,3.22686,3.22686,5.13604,5.13604,8.3629,8.3629
